Name,Type
?,OTHER
ABNORMAL WARMTH,HEAT
ABNORMALLY DRY,DRY
ABNORMALLY WET,WET WEATHER
ACCUMULATED SNOWFALL,SNOW
AGRICULTURAL FREEZE,ICE
APACHE COUNTY,APACHE COUNTY
ASTRONOMICAL HIGH TIDE,TIDE
ASTRONOMICAL LOW TIDE,TIDE
AVALANCE,AVALANCE
AVALANCHE,SNOW
BEACH EROSIN,BEACH EROSION
Beach Erosion,BEACH EROSION
BEACH EROSION,BEACH EROSION
BEACH EROSION/COASTAL FLOOD,FLOOD
BEACH FLOOD,FLOOD
BELOW NORMAL PRECIPITATION,RAIN
BITTER WIND CHILL,WIND
BITTER WIND CHILL TEMPERATURES,WIND
Black Ice,ICE
BLACK ICE,ICE
BLIZZARD,BLIZZARD
BLIZZARD AND EXTREME WIND CHIL,BLIZZARD
BLIZZARD AND HEAVY SNOW,SNOW
Blizzard Summary,BLIZZARD
BLIZZARD WEATHER,BLIZZARD
BLIZZARD/FREEZING RAIN,BLIZZARD
BLIZZARD/HEAVY SNOW,SNOW
BLIZZARD/HIGH WIND,BLIZZARD
BLIZZARD/WINTER STORM,BLIZZARD
BLOWING DUST,DUST
BLOWING SNOW,SNOW
blowing snow,SNOW
Blowing Snow,SNOW
BLOWING SNOW & EXTREME WIND CH,SNOW
BLOWING SNOW- EXTREME WIND CHI,SNOW
BLOWING SNOW/EXTREME WIND CHIL,SNOW
BLOW-OUT TIDE,TIDE
BLOW-OUT TIDES,TIDE
BREAKUP FLOODING,FLOOD
BRUSH FIRE,FIRE
BRUSH FIRES,FIRE
COASTAL  FLOODING/EROSION,FLOOD
COASTAL EROSION,COASTAL EROSION
COASTAL FLOOD,FLOOD
COASTAL FLOOD,FLOOD
Coastal Flood,FLOOD
COASTAL FLOODING,FLOOD
Coastal Flooding,FLOOD
coastal flooding,FLOOD
COASTAL FLOODING/EROSION,FLOOD
COASTAL STORM,COASTAL STORM
Coastal Storm,COASTAL STORM
COASTAL SURGE,COASTAL SURGE
COASTAL/TIDAL FLOOD,FLOOD
COASTALFLOOD,FLOOD
COASTALSTORM,COASTAL STORM
COLD,COLD
Cold,COLD
COLD AIR FUNNEL,COLD
COLD AIR FUNNELS,COLD
COLD AIR TORNADO,TORNADO
Cold and Frost,COLD
COLD AND FROST,COLD
COLD AND SNOW,SNOW
COLD AND WET CONDITIONS,COLD
Cold Temperature,COLD
COLD TEMPERATURES,COLD
COLD WAVE,COLD
COLD WEATHER,COLD
COLD WIND CHILL TEMPERATURES,WIND
COLD/WIND CHILL,WIND
COLD/WINDS,WIND
COOL AND WET,COLD
COOL SPELL,COLD
CSTL FLOODING/EROSION,FLOOD
DAM BREAK,DAM BREAK
DAM FAILURE,DAM BREAK
DAMAGING FREEZE,ICE
Damaging Freeze,ICE
DEEP HAIL,HAIL
DENSE FOG,DENSE FOG
DENSE SMOKE,SMOKE
DOWNBURST,DOWNBURST
DOWNBURST WINDS,WIND
DRIEST MONTH,DRY
Drifting Snow,SNOW
DROUGHT,DROUGHT
DROUGHT/EXCESSIVE HEAT,HEAT
DROWNING,DROWNING
DRY,DRY
DRY CONDITIONS,DRY
DRY HOT WEATHER,DRY
DRY MICROBURST,DRY
DRY MICROBURST 50,DRY
DRY MICROBURST 53,DRY
